index,name,address,sido,gungu
0,가경동점,충청북도 청주시흥덕구 풍산로 103(복대동),충청북도,충청북도
1,가남점,경기도 여주군 가남면 태평중앙1길 8-6,경기도,경기도
2,가래비점,경기도 양주시 광적면 가납리 가래비길 24,경기도,경기도
3,가마점,충청북도 청주시서원구 남이면 가마리 397,충청북도,충청북도
4,가수원점,대전광역시 서구 가수원동 774-18,대전광역시,대전광역시
5,가양동점,"서울특별시 강서구 양천로51길 11, 1층 102호(가양동,신환빌딩)",서울특별시,서울특별시
6,가오점,대전광역시 동구 가오동 533,대전광역시,대전광역시
7,가운점,경기도 남양주시 가운로2길 63 가운동삼원프라자 105호,경기도,경기도
8,가장점,대전광역시 서구 가장동 40-40,대전광역시,대전광역시
9,가정지구1점,인천광역시 서구 봉오재2로 37 104호,인천광역시,인천광역시
10,가좌3점,인천광역시 서구 가석로156번길 23-1,인천광역시,인천광역시
11,가평역전점,경기도 가평군 가평읍 굴다리길 13,경기도,경기도
12,가평점,경기도 가평군 가평읍 가화로 125-1,경기도,경기도
13,가평현리점,"경기도 가평군 하면 현창로38번길, 6-1",경기도,경기도
14,각화주공점,광주광역시 북구 각화동 202번지 주공@상가 107호,광주광역시,광주광역시
15,간현점,강원도 원주시 지정면 간현로 188,강원도,강원도
16,갈곶원동점,경기도 오산시 갈곶동 126-23,경기도,경기도
17,갈마점,대전광역시 서구 갈마로 60(갈마동),대전광역시,대전광역시
18,갈산점,인천광역시 부평구 갈산동 364-4,인천광역시,인천광역시
19,갈산점(이천),"경기도 이천시 갈산로 81(갈산동, 102)",경기도,경기도
20,갈산점(홍성),충청남도 홍성군 갈산면 상촌리 243,충청남도,충청남도
21,감곡점,충청북도 음성군 감곡면 장감로 142,충청북도,충청북도
22,감삼점,대구광역시 달서구 두류3동 630-1,대구광역시,대구광역시
23,강경점,충청남도 논산시 강경읍 대흥리 19-3,충청남도,충청남도
24,강구점,경상북도 영덕군 강구면 강구리 453번지,경상북도,경상북도
25,강남구청점,서울특별시 강남구 삼성로119길 41. 1층(삼성동),서울특별시,서울특별시
26,강남대점,경기도 용인시기흥구 강남동로 114번 22,경기도,경기도
27,강남점,대구광역시 동구 신암로16길 2,대구광역시,대구광역시
28,강릉교동점,강원도 강릉시 강릉대로 269 (교동),강원도,강원도
29,강릉대점,강원도 강릉시  율곡초교길39번 27,강원도,강원도
30,강릉서부점,강원도 강릉시 임영로 170-3(임당동),강원도,강원도
31,강릉옥계점,"강원도 강릉시 옥계면 현내시장길 52, 1/2",강원도,강원도
32,강릉옥천동점,강원도 강릉시 동부시장길 45(옥천동),강원도,강원도
33,강릉유천점,강원도 강릉시  선수촌로 63번길 우미린상가106,강원도,강원도
34,강북점,대구광역시 북구 읍내동 803-1,대구광역시,대구광역시
35,강상점,경기도 양평군 강상면 병산리69-12,경기도,경기도
36,강서구청점,서울특별시 강서구 화곡6동 986-4 1층,서울특별시,서울특별시
37,강서점,충청북도 청주시흥덕구 강서동 가로수로1154번길 21-5,충청북도,충청북도
38,강선점,경기도 고양시일산서구 강선로 67번지 유원상가 103호,경기도,경기도
39,강진점,전라남도 강진군 강진읍 탐진로 76-1,전라남도,전라남도
40,강화1점,인천광역시 강화군 강화읍 강화대로403번길 5,인천광역시,인천광역시
41,강화2점,인천광역시 강화군 강화읍 남산리 39-1,인천광역시,인천광역시
42,개군점,경기도 양평군 개군면 하자포길 35,경기도,경기도
43,개금점,부산광역시 부산진구 개금3동 18,부산광역시,부산광역시
44,개봉1점,"서울특별시 구로구 개봉로11길 13, 1층 3호(개봉동)",서울특별시,서울특별시
45,개신점,충청북도 청주시흥덕구 장구봉로 130(개신동),충청북도,충청북도
46,개운점,강원도 원주시 송림길 48-10(개운동),강원도,강원도
47,개포2점,서울특별시 강남구 선릉로6길 12. 1층(개포동),서울특별시,서울특별시
48,개포3점,서울특별시 강남구 개포로22길 23. 지상1층(개포동),서울특별시,서울특별시
49,거모점,경기도 시흥시 거모동 1753-6 105호,경기도,경기도
50,거진점,강원도 고성군 거진읍 거탄진로 129-1,강원도,강원도
51,거창점,경상남도 거창군 거창읍 중앙로 52-1,경상남도,경상남도
52,건등점,강원도 원주시 문막읍 동화초교길 38,강원도,강원도
53,건영점,경기도 고양시일산서구 성저로 110번지,경기도,경기도
54,건천점,"경상북도 경주시 건천읍 내서로 1126, 101",경상북도,경상북도
55,검단점,인천광역시 서구 완정로 196,인천광역시,인천광역시
56,검암경서점,인천광역시 서구 검암동 643-2 우주프라자 104,인천광역시,인천광역시
57,경남고성점,경상남도 고성군 고성읍 송학리 263-7,경상남도,경상남도
58,경남금산점,경상남도 진주시 금산면 장사리 935-1,경상남도,경상남도
59,경남단계점,경상남도 산청군 신등면 신등가회로 15,경상남도,경상남도
60,경남사천점,경상남도 사천시 사천읍 정의1길 16,경상남도,경상남도
61,경남양산점,경상남도 양산시 중앙로 111 1층,경상남도,경상남도
62,경복점,"서울특별시 강남구 봉은사로43길 8, 1층 102호(논현동)",서울특별시,서울특별시
63,경안점,경기도 광주시 중앙로 179 (송정동),경기도,경기도
64,경포대점,강원도 강릉시 경포로 489-6(안현동),강원도,강원도
65,계산1점,인천광역시 계양구 계산2동 933-25,인천광역시,인천광역시
66,계양1동점,인천광역시 계양구 황어로115번길 10,인천광역시,인천광역시
67,고강1점,경기도 부천시오정구 원종동 238-10,경기도,경기도
68,고강2점,경기도 부천시오정구 고강본동 399,경기도,경기도
69,고담리점,경기도 이천시 대월면 대산로288번길 72,경기도,경기도
70,고대점,충청남도 당진군 고대면 고대로 47,충청남도,충청남도
71,고덕역점,서울특별시 강동구 고덕1동 643-2,서울특별시,서울특별시
72,고덕점,충청남도 예산군 고덕면 용고길 353,충청남도,충청남도
73,고매리점,경기도 용인시기흥구 고매동 722-2,경기도,경기도
74,고북점,충청남도 서산시 고북면 기포리 300-2,충청남도,충청남도
75,고색점,경기도 수원시권선구 고색동 42-14,경기도,경기도
76,고양동점,경기도 고양시덕양구 혜음로 68-11,경기도,경기도
77,고은점,충청북도 청원군 남일면 단재로 730-1,충청북도,충청북도
78,고읍점,"경기도 양주시 고읍남로39번길 71, 104(광사동)",경기도,경기도
79,고잔2점,경기도 안산시단원구 고잔동 733-1 104,경기도,경기도
80,고잔점,경기도 안산시단원구 고잔동 612 문화연립상가동 110,경기도,경기도
81,고척동점,서울특별시 구로구 고척2동 164-41,서울특별시,서울특별시
82,고천점,"경기도 의왕시 효행로 44(오전동, 의왕빌딩3호)",경기도,경기도
83,고한점,강원도 정선군 고한읍 고한로 151-1,강원도,강원도
84,고현점,경상남도 거제시 신현읍 고현리 799-12,경상남도,경상남도
85,곡반정점,경기도 수원시권선구 곡반정동 578 현대@상가107,경기도,경기도
86,곤명점,경상남도 사천시 곤명면 정곡리 843-9,경상남도,경상남도
87,곤지암점,"경기도 광주시 곤지암읍 곤지암로50번길, 25",경기도,경기도
88,공덕동점,서울특별시 마포구 공덕동 111-187,서울특별시,서울특별시
89,공덕역점,"서울특별시 마포구 마포대로11길 75 102 (공덕동, 공덕현대아파트상가)",서울특별시,서울특별시
90,공도점,경기도 안성시 공도읍 고무다리길 10-1,경기도,경기도
91,공릉2점,서울특별시 노원구 동일로184길 69. 1층(공릉동),서울특별시,서울특별시
92,공주1점,충청남도 공주시 웅진로 140(중동),충청남도,충청남도
93,공주산성동점,충청남도 공주시 산성찬호길 1(산성동),충청남도,충청남도
94,과학단지점,충청북도 청원군 오창읍 오창중앙로 94,충청북도,충청북도
95,관기점,충청북도 보은군 마로면 관기송현로 95-1,충청북도,충청북도
96,관산점,경기도 고양시덕양구 통일로802번길 71,경기도,경기도
97,관양1점,경기도 안양시동안구 관양동 1397-1 1층 101,경기도,경기도
98,관음점,대구광역시 북구 관음동 1319-11,대구광역시,대구광역시
99,관저1점,대전광역시 서구 관저동 981 원앙쇼핑109호,대전광역시,대전광역시
100,관저2점,대전광역시 서구 관저동 1137-1 구봉5단지상가 103호,대전광역시,대전광역시
101,광나루점,서울특별시 광진구 광장동 277-12 1층,서울특별시,서울특별시
102,광릉내점,경기도 남양주시 진접읍 광릉내로 81,경기도,경기도
103,광명1점,경기도 광명시 오리로 937,경기도,경기도
104,광명2점,경기도 광명시 광명동 348-20,경기도,경기도
105,광명3점,"경기도 광명시 광명로928번길 14, 1층(광명동)",경기도,경기도
106,광산점,광주광역시 광산구 송정동 792-14,광주광역시,광주광역시
107,광안점,부산광역시 수영구 무학로33번길 55,부산광역시,부산광역시
108,광양점,전라남도 광양시 광양읍 인서중앙길 43,전라남도,전라남도
109,광장동점,서울특별시 광진구 구의동 203-24,서울특별시,서울특별시
110,광주점,경기도 광주시 문화로 6(역동),경기도,경기도
111,광주지사, ,,
112,광천점,충청남도 홍성군 광천읍 광천리 244-7,충청남도,충청남도
113,광탄점,경기도 파주시 광탄면 혜음로 1127-1,경기도,경기도
